ActivityName,district_name,tehsil_name,ucs,training_type,no_partcpnt,attend_m,attend_f,new_partcpnt,duration,t_venue,water_avail,func_wash,tmat_agenda,tmar_tsheet,tmar_vaccvial,tmar_rmap,tmar_fm,tmar_chalk,tmar_other,p_briefed,aic_sit,vacc_admin_videos,stall_method,sk_ipc,sk_vacc_administration,sk_finger_mark,sk_door_chalk,sk_data_record,sk_gender_mainstream,sop_ipc,sop_vacc_administration,sop_finger_mark,sop_door_chalk,sop_data_record,sop_gender_mainstream,qa,feedback,ttmv2_picture,stall_comm,stall_visiting,stall_guid,vacc_mang_vvm,stall_visiting_process,stall_pfm,stall_guid_fm,stall_board,stall_doorm,stall_guid_door,stall_tely_pana,stall_fill_telly,stall_guid_data_r,stall_afp,stall_payment_p,local_lang,local_lang_guideline,field_activity,field_demonstration
NID OCT 2025,KHYBER,JAMRUD,SHAH KAS A,cbv,17,17,0,0,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
NID OCT 2025,PESHAWAR,SMT,HAZARKHWANI 1,cbv,14,0,13,0,260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,MOHMAND,PANDIALI,DANISHKOOL,mt,20,17,0,0,180,,1,1,0,1,1,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,0,0
NID OCT 2025,PESHAWAR,SMT,HAZARKHWANI 2,cbv,21,0,21,0,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
NID OCT 2025,MOHMAND,HALEEMZAI,KASSI,mt,29,16,11,1,240,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
NID OCT 2025,KHYBER,LANDI KOTAL,PIROKHEL,cbv,19,19,0,0,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,KHYBER,JAMRUD,SUR KAMAR,cbv,19,18,0,0,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,CHARSADA,CHARSADDA,MIRA PRANG,mt,19,1,17,0,240,1,0,1,1,1,1,1,0,1,0,1,1,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
NID OCT 2025,CHARSADA,TANGI,ABAZAI,mt,29,4,25,1,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,MOHMAND,PANDIALI,PANDIALI,mt,28,7,13,0,255,1,1,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
NID OCT 2025,KHYBER,BARA,TAUDA CHEENA,cbv,13,13,0,1,180,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,CHARSADA,TANGI,MC TANGI,mt,27,0,27,2,240,1,1,0,0,1,0,0,0,1,1,1,0,0,1,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0
NID OCT 2025,NOWSHERA,PABBI,JALOZAI,mt,23,3,20,2,331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,KHYBER,JAMRUD,SHAH KAS A,cbv,17,17,0,0,180,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,MOHMAND,BAIZAI,GHANAM SHAH,mt,31,15,0,0,300,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
NID OCT 2025,MOHMAND,KHAWEZAI,JUMA KHEL,mt,23,11,2,0,280,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
NID OCT 2025,NOWSHERA,PABBI,CHOKI MAMREZ,mt,26,2,15,0,330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,KHYBER,BARA,JANBAZ A,cbv,29,29,0,1,180,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,KHYBER,BARA,ABDULLAH JAN,cbv,17,17,0,2,120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,CHARSADA,CHARSADDA,UMERZAI,mt,28,0,28,0,360,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,NOWSHERA,NOWSHERA,KHESHGI BALA,mt,22,3,16,0,180,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,KHYBER,LANDI KOTAL,SULTAN KHEL A,cbv,19,15,4,0,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,KHYBER,JAMRUD,LOWARA MIANA,cbv,18,18,0,1,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,KHYBER,JAMRUD,ALI MASJID A,cbv,23,23,0,0,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
