Campaign,Province,District,Tehsil,UC name,UC Code,MPQA Reported,Desk Review %,Field Validation %,Over-all %,Band,Field vs Desk,Micro Plan available with UCMO,HR numbers match District Resource Plan,SBC component complete,UC Map complete,HH totals reconcile,Team workload within limits,Hamlets / streets listed,AIC/AS Map complete,Vaccine & logistics plan,MMP in AIC/AS area,Starting Point HH details,Team Route Map & landmark,School / madrassa target,Hamlet exists in Operational Plan,MMP in today's plan,Ending Point HH details,Geographic category matches
SNID Sep 2026,KP,PESHAWAR,SMT,YAKATOOT 2,33008017,Yes,98.53,100,99.61,Good,1.47,100,100,100,75,100,100,100,100,100,100,100,100,,100,100,100,100
SNID Sep 2026,KP,PESHAWAR,SADDAR,MUSAZAI,33006009,Yes,95.19,96.24,95.97,Good,1.05,75,100,100,100,100,100,100,100,100,83.33,100,100,0,100,100,100,100
SNID Sep 2026,KP,NOWSHERA,NOWSHERA,AZAKHEL BALA,33202006,Yes,76.87,93.03,88.9,Intermediate,16.16,100,100,100,100,100,0,100,66.67,100,83.33,100,100,100,100,75,100,62.5
SNID Sep 2026,KP,KHYBER,LANDI KOTAL,TORA WELA,33404077,Yes,100,,100,Good,,100,100,100,100,100,100,100,100,100,100,,,,,,,
SNID Sep 2026,KP,KHYBER,BARA,AKAKHEL MAIRA,33401104,Yes,98.52,96.61,96.99,Good,-1.91,100,100,100,75,100,100,100,100,100,100,100,100,100,100,,93.75,87.5
SNID Sep 2026,KP,NOWSHERA,NOWSHERA,NAWA KALY,33202034,Yes,100,97,97.79,Good,-3,100,100,100,100,100,100,100,100,100,100,87.5,100,,100,100,100,100
SNID Sep 2026,KP,CHARSADA,CHARSADDA,MC-1 CHARSADDA,33101010,Yes,88.93,45.43,56.55,Failed,-43.5,100,100,50,100,100,100,100,100,100,66.67,93.75,50,,0,0,37.5,62.5
SNID Sep 2026,KP,CHARSADA,CHARSADDA,BAHLOLA,33101002,Yes,94.4,94.79,94.68,Good,.39,100,100,100,100,100,100,100,100,100,66.67,100,100,,100,75,87.5,100
SNID Sep 2026,KP,PESHAWAR,CITY,UNIVERSITY TOWN,33004033,Yes,100,88.46,91.41,Good,-11.54,100,100,100,100,100,100,100,100,100,100,75,100,,100,100,75,100
SNID Sep 2026,KP,PESHAWAR,CITY,HASAN GARHI 2,33004011,Yes,100,100,100,Good,0,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100
SNID Sep 2026,KP,PESHAWAR,CITY,KARIM PURA,33004016,Yes,100,88.26,91.3,Good,-11.74,100,100,100,100,100,100,100,100,100,100,75,100,,100,100,75,100
SNID Sep 2026,KP,KHYBER,LANDI KOTAL,SULTAN KHEL B,33404074,Yes,97.72,98.1,98.06,Good,.38,75,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,87.5
SNID Sep 2026,KP,CHARSADA,SHABQADAR,BATTAGRAM,33102001,Yes,51.51,78.98,72.07,Intermediate,27.47,100,100,50,0,100,100,0,0,100,,75,75,,100,,62.5,100
SNID Sep 2026,KP,NOWSHERA,PABBI,CHOKI MAMREZ,33204004,Yes,100,100,100,Good,0,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100
SNID Sep 2026,KP,PESHAWAR,SMT,DERI BAGHBANAN,33008005,Yes,100,100,100,Good,0,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100
SNID Sep 2026,KP,PESHAWAR,SADDAR,URMAR PAYAN,33006015,Yes,95.64,100,98.85,Good,4.36,100,100,100,25,100,100,100,100,100,100,100,100,100,100,100,100,100
SNID Sep 2026,KP,KHYBER,JAMRUD,NEW ABADI,33402077,Yes,100,100,100,Good,0,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100
SNID Sep 2026,KP,PESHAWAR,MATTANI,SARBAND,33005006,Yes,100,90,92.29,Good,-10,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,75,100
SNID Sep 2026,KP,MOHMAND,HALEEMZAI,KASSI,33503013,Yes,93.7,95.83,95.3,Good,2.13,100,100,75,100,100,100,100,100,33.33,100,100,100,0,100,100,100,100
SNID Sep 2026,KP,KHYBER,JAMRUD,CHAPARI,33402072,Yes,100,100,100,Good,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SNID Sep 2026,KP,PESHAWAR,SMT,LANDI ARBAB,33008009,Yes,100,100,100,Good,0,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100
SNID Sep 2026,KP,NOWSHERA,PABBI,KHAN SHER GARHI KHU,33204009,Yes,79.21,67.59,70.68,Intermediate,-11.62,100,100,100,100,100,33.33,100,33.33,100,83.33,87.5,60,,75,50,68.75,50
SNID Sep 2026,KP,PESHAWAR,SHAH ALAM,PANAM DHERI,33007018,Yes,83.86,90.49,88.64,Intermediate,6.63,100,100,100,75,100,33.33,100,66.67,100,100,100,100,,100,100,100,37.5
SNID Sep 2026,KP,PESHAWAR,MATTANI,BAZID KHEL,33005002,Yes,100,100,100,Good,0,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100
